,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
x,-689.9690246425848,0.61613247550888,0.4982460487456171,-0.06080125603257297,-0.5594176208460379,-4.028119819156816e-05,-2.7518186913620083e-05,6.466747049610045e-05,6.499057901791068e-05,1.8347678715287198e-05,-4.01859588394711e-05,-0.00012229254487977897,-1.1921078163574009e-06,0.00014979840627535416,-1.7134551035445655e-05
y,-130.1367596625778,0.5054615342034743,-0.43219579086550997,-0.5058941850148662,1.0423820425134256,2.2740793464563008e-05,1.5882304300337446e-05,-0.0006037769736676564,0.0005738525775879415,2.7512882249479595e-05,7.454874896425438e-06,-7.894625872966368e-06,-1.3839224476855861e-05,-7.908695847835698e-06,-1.36234669367489e-05
z,1730.5965628611598,-1.7276238984659522,0.04745173549169413,2.1642805939593117,-0.0529580523571544,-9.035662121612344e-06,-0.0005135711939932932,9.558104728247132e-06,1.0395224867716264e-05,-4.997158961702899e-05,-6.432285374465416e-06,0.00016503839850556763,2.5093878642462514e-05,0.0001711832330864651,2.477833391693634e-05
