Date,Open,High,Low,Close
2020-05-28,204.88650111454703,204.9360390984001,195.05876676953756,195.61355590820312
2020-05-29,193.64648820816288,194.56047556835045,189.83158048935502,190.83497619628906
2020-06-01,189.98059528116616,196.1599581476612,189.98059528116616,194.67970275878906
2020-06-02,196.4480651038051,203.85931647595945,194.73930156381928,203.4420623779297
2020-06-03,207.06820669224467,211.21097516466264,207.06820669224467,208.54847717285156
2020-06-04,206.51186083148875,210.8731778291358,205.8760429261061,210.11814880371094
2020-06-05,221.7615856616635,227.52369419390288,219.9137374293028,223.95713806152344
2020-06-08,226.64944769927519,228.95429726576603,218.344067116427,220.69857788085938
2020-06-09,216.29753207844055,218.02616928156456,207.02848762212184,207.48548889160156
2020-06-10,205.8860065238012,207.3762062999052,202.1704362914407,203.25331115722656
2020-06-11,195.1168116358786,198.4946067811239,187.0101366373001,187.6558837890625
2020-06-12,195.7625732421875,198.29591580223007,191.22242414465248,195.7625732421875
2020-06-15,189.1361580963698,199.080752355384,187.0896195212702,197.8885955810547
2020-06-16,217.30090878940774,220.3011816636006,207.13775141763574,212.73097229003906
2020-06-17,214.88681097461537,214.88681097461537,207.96234812822476,209.3531951904297
2020-06-18,207.72389667566563,213.64496339574413,206.293302560259,210.62481689453125
2020-06-19,213.3866695533527,216.37701351390282,208.44915483996022,209.6413116455078
2020-06-22,207.535136081938,209.62142169802078,203.1638897499775,208.36965942382812
2020-06-23,211.3500521327824,211.93619368374397,207.96232799463033,210.5751495361328
2020-06-24,208.15110189081818,208.91606016865023,203.4023333118831,205.14089965820312
2020-06-25,203.75997271862866,205.51839740124922,200.91865809650048,204.48519897460938
2020-06-26,203.79972506047926,203.79972506047926,197.51108005394929,201.46507263183594
2020-06-29,202.50819352813082,208.48886568349567,202.50819352813082,205.15081787109375
2020-06-30,204.2666329901859,206.4423268942684,201.1173462306249,205.22036743164062
2020-07-01,206.77018235070645,208.33986120073857,203.7699093508175,207.6046905517578
2020-07-02,212.3435356929977,215.97961157108716,208.10142948294822,212.0951690673828
2020-07-06,215.2643038867006,217.25123679387306,212.10508784066198,214.92652893066406
2020-07-07,212.47266184222013,213.48600185160979,209.86978463049428,211.18116760253906
2020-07-08,210.58507054127577,211.34009953552666,205.2600901188955,207.5251922607422
2020-07-09,207.16756769707914,208.37959803784574,201.18689513220892,205.35946655273438
2020-07-10,205.72704328683963,209.8101911813648,204.58454772389186,208.7769775390625
2020-07-13,210.6745072692891,215.22458573839444,208.5981658859593,209.03529357910156
2020-07-14,209.23398172147245,213.67477822209972,206.93907651492597,213.36680603027344
2020-07-15,217.53936016901656,222.19872046771934,217.2313879802487,220.58929443359375
2020-07-16,219.65545758057795,222.4868281179708,218.0361022729841,221.6324462890625
2020-07-17,223.82801345844217,224.89101476859486,220.96682498556652,222.08944702148438
2020-07-20,221.05621104181506,221.85098722180385,217.87712148095466,219.9932098388672
